Дата,Год,Месяц,День,48-1 (0),"48-1 (0,5)",48-1 (1),"48-1 (1,5)",48-1 (2),"48-1 (2,5)",48-1 (3),"48-1 (3,5)",48-1 (4),"48-1 (4,5)",48-1 (5),48-1 (6),48-1 (7),48-1 (8),48-1 (9),48-1 (10),48-1 (11),48-Воздух (0)
2020-11-27,2020,11,27,-5.47,-2.03,-0.22,0.02,0.02,0.02,-0.01,-0.12,-0.36,-0.41,-0.52,-0.54,-0.54,-0.52,-0.36,-0.28,-0.17,-11.93
2020-11-28,2020,11,28,-7.2,-2.3,-0.25,0.02,0.02,0.02,-0.01,-0.13,-0.36,-0.41,-0.53,-0.54,-0.54,-0.51,-0.36,-0.28,-0.18,-8.96
2020-11-29,2020,11,29,-8.85,-2.95,-0.34,0.02,0.02,0.02,-0.01,-0.12,-0.35,-0.41,-0.54,-0.54,-0.54,-0.51,-0.35,-0.28,-0.18,-6.54
2020-11-30,2020,11,30,-6.07,-3.35,-0.47,0.02,0.02,0.02,-0.01,-0.14,-0.37,-0.41,-0.54,-0.55,-0.54,-0.49,-0.39,-0.28,-0.2,-4.57
2020-12-01,2020,12,1,-4.29,-3.04,-0.54,0.02,0.02,0.02,-0.01,-0.16,-0.38,-0.42,-0.55,-0.56,-0.54,-0.5,-0.39,-0.28,-0.19,-3.78
2020-12-02,2020,12,2,-4.57,-2.67,-0.54,0.02,0.03,0.02,-0.01,-0.18,-0.4,-0.44,-0.57,-0.57,-0.55,-0.5,-0.39,-0.28,-0.18,-5.42
2020-12-03,2020,12,3,-3.93,-2.53,-0.54,0.02,0.02,0.02,-0.01,-0.17,-0.41,-0.47,-0.58,-0.6,-0.58,-0.53,-0.4,-0.28,-0.2,-3.87
2020-12-04,2020,12,4,-3.31,-2.29,-0.54,0.02,0.03,0.02,-0.01,-0.18,-0.41,-0.48,-0.6,-0.6,-0.6,-0.51,-0.4,-0.28,-0.2,-3.98
2020-12-05,2020,12,5,-3.35,-2.07,-0.51,0.02,0.03,0.02,-0.01,-0.18,-0.41,-0.48,-0.59,-0.6,-0.6,-0.54,-0.4,-0.28,-0.17,-4.09
2020-12-06,2020,12,6,-3.41,-2.0,-0.49,0.02,0.03,0.02,-0.01,-0.18,-0.41,-0.48,-0.6,-0.6,-0.6,-0.53,-0.4,-0.28,-0.19,-4.01
2020-12-07,2020,12,7,-2.58,-1.91,-0.48,0.02,0.03,0.02,-0.01,-0.18,-0.41,-0.48,-0.6,-0.6,-0.6,-0.54,-0.4,-0.28,-0.19,-1.68
2020-12-08,2020,12,8,-5.46,-1.87,-0.48,0.02,0.03,0.03,-0.01,-0.18,-0.41,-0.48,-0.6,-0.6,-0.6,-0.54,-0.4,-0.29,-0.2,-10.77
2020-12-09,2020,12,9,-6.05,-2.46,-0.55,0.01,0.03,0.03,-0.01,-0.18,-0.41,-0.48,-0.6,-0.6,-0.61,-0.54,-0.4,-0.28,-0.19,-7.07
2020-12-10,2020,12,10,-5.29,-2.71,-0.65,0.02,0.03,0.03,-0.01,-0.18,-0.41,-0.48,-0.6,-0.6,-0.61,-0.54,-0.4,-0.29,-0.18,-7.75
2020-12-11,2020,12,11,-5.38,-2.96,-0.74,0.01,0.03,0.03,-0.01,-0.18,-0.41,-0.48,-0.6,-0.6,-0.61,-0.54,-0.4,-0.29,-0.2,-7.96
2020-12-12,2020,12,12,-5.46,-3.11,-0.78,0.02,0.03,0.03,-0.01,-0.18,-0.41,-0.48,-0.61,-0.6,-0.61,-0.54,-0.4,-0.3,-0.2,-6.46
2020-12-13,2020,12,13,-5.42,-3.08,-0.85,0.02,0.03,0.03,-0.02,-0.18,-0.41,-0.48,-0.61,-0.61,-0.61,-0.54,-0.4,-0.3,-0.19,-6.63
2020-12-14,2020,12,14,-5.94,-3.08,-0.92,0.02,0.02,0.03,-0.03,-0.18,-0.41,-0.48,-0.62,-0.62,-0.61,-0.54,-0.4,-0.29,-0.18,-9.82
2020-12-15,2020,12,15,-10.46,-3.52,-0.97,0.02,0.03,0.03,-0.03,-0.18,-0.42,-0.49,-0.65,-0.64,-0.61,-0.56,-0.41,-0.29,-0.17,-20.33
